"spkid","pdes","diameter","a","albedo","e","i"
20000001,1,939.4,2.766,0.090,0.0794,10.59
20000002,2,513,2.77,0.155,0.2305,34.92
20000003,3,246.596,2.671,0.214,0.2559,12.99
20000004,4,522.77,2.361,0.4228,0.0901,7.14
20000005,5,106.699,2.577,0.274,0.1874,5.36
20000006,6,185.18,2.426,0.2679,0.2023,14.74
20000007,7,199.83,2.386,0.2766,0.2300,5.52
20000008,8,147.491,2.201,0.226,0.1565,5.89
20000009,9,190,2.386,0.118,0.1226,5.58
20000010,10,407.12,3.144,0.0717,0.1096,3.83
20000011,11,142.887,2.454,0.191,0.0998,4.63
20000012,12,115.087,2.334,0.163,0.2200,8.37
20000013,13,202.636,2.577,0.049,0.0850,16.53
20000014,14,152,2.588,0.159,0.1627,9.13
20000015,15,231.689,2.643,0.248,0.1877,11.76
20000016,16,222,2.922,0.1203,0.1341,3.10
20000017,17,84.899,2.471,0.193,0.1320,5.59
20000018,18,139.594,2.295,0.181,0.2181,10.13
20000019,19,200,2.443,0.037,0.1579,1.57
20000020,20,135.680,2.409,0.241,0.1439,0.71
20000021,21,98,2.434,0.19,0.1648,3.06
20000022,22,167.536,2.91,0.166,0.0989,13.70
20000023,23,107.53,2.629,0.2536,0.2311,10.11
20000024,24,198,3.143,0.067,0.1153,0.74
20000025,25,61.054,2.4,0.350,0.2541,21.61
20000026,26,94.80,2.656,0.1966,0.0885,3.55
20000027,27,96,2.348,0.215,0.1715,1.58
20000028,28,120.90,2.777,0.1763,0.1490,9.42
20000029,29,189.559,2.554,0.216,0.0735,6.08
20000030,30,92.787,2.366,0.192,0.1268,2.09
20000031,31,267.080,3.161,0.053,0.2160,26.32
20000032,32,80.76,2.587,0.2564,0.0816,5.52
20000033,33,52.929,2.875,0.240,0.3323,1.85
20000034,34,132.992,2.686,0.023,0.1068,5.50
20000035,35,103.055,3.009,0.066,0.2178,7.86
20000036,36,132.842,2.745,0.029,0.3064,18.37
20000037,37,108.35,2.643,0.1826,0.1748,3.07
20000038,38,92.255,2.742,0.055,0.1509,6.95
20000039,39,179.484,2.77,0.269,0.1124,10.37
20000040,40,111.251,2.267,0.220,0.0460,4.26
20000041,41,205.495,2.77,0.059,0.2708,15.72
20000042,42,110.997,2.442,0.139,0.2219,8.51
20000043,43,71.340,2.203,0.234,0.1684,3.47
20000044,44,70.64,2.422,0.482,0.1497,3.71
20000045,45,202.327,2.72,0.045,0.0828,6.61
20000046,46,131.471,2.526,0.046,0.1720,2.35
20000047,47,168.174,2.884,0.082,0.1321,4.97
20000048,48,216.473,3.112,0.065,0.0664,6.56
20000049,49,166.252,3.099,0.048,0.2216,3.20
20000050,50,84.074,2.652,0.050,0.2847,2.84
20000051,51,138.159,2.366,0.100,0.0659,9.97
20000052,52,303.918,3.092,0.057,0.1118,7.48
20000053,53,97.262,2.619,0.028,0.2029,5.18
20000054,54,160.120,2.714,0.059,0.1973,11.81
20000055,55,84.794,2.758,0.204,0.1450,7.18
20000056,56,121.333,2.597,0.057,0.2370,8.08
20000057,57,112.59,3.155,0.2149,0.1082,15.23
20000058,58,106.517,2.7,0.044,0.0456,5.07
20000059,59,165.119,2.714,0.044,0.1167,8.65
20000060,60,43.218,2.392,0.373,0.1845,3.60
20000061,61,85.937,2.985,0.203,0.1640,18.20
20000062,62,106.921,3.13,0.048,0.1681,2.24
20000063,63,116.044,2.395,0.125,0.1282,5.77
20000064,64,58.292,2.681,0.483,0.1264,1.31
20000065,65,237.26,3.409,0.0706,0.1274,3.56
20000066,66,71.82,2.646,0.016,0.1722,3.04
20000067,67,56.309,2.423,0.228,0.1850,6.02
