,id,m,c_param,fam_num,par_num,name,pdes,H,diameter,albedo,rot_per,BV,UB,IR,spec_B,spec_T,e,a,q,i
0,93,7.78,-10.12,516,1272,Gefion,93,7.9,154.155,0.056,5.982,0.685,0.315,,C,CU,0.1427,2.753,2.36,8.54
1,1272,12.84,0.0,516,1272,Gefion,1272,12.92,6.965,0.252,3.086,,,,Sl,,0.1504,2.786,2.367,8.41
2,2053,11.74,1.03,516,1272,Gefion,2053,11.94,11.064,0.251,11.604,,,,S,,0.1411,2.803,2.408,8.51
3,2157,11.91,-0.02,516,1272,Gefion,2157,12.15,13.423,0.17,147.45,,,,S,,0.1103,2.787,2.48,8.61
4,2521,11.56,0.61,516,1272,Gefion,2521,11.87,,,12.0,,,,S,,0.0894,2.795,2.545,7.73
5,2875,12.11,0.66,516,1272,Gefion,2875,12.43,9.511,0.282,5.628,,,,S,,0.0996,2.797,2.518,9.03
6,2905,11.93,1.03,516,1272,Gefion,2905,12.07,10.224,0.273,,,,,S,,0.0991,2.802,2.525,8.91
7,2911,11.55,0.64,516,1272,Gefion,2911,11.92,12.214,0.358,4.201,,,,S,,0.0955,2.795,2.528,9.61
8,3788,12.03,0.42,516,1272,Gefion,3788,12.37,9.799,0.32,18.467,,,,S,,0.1025,2.794,2.508,9.68
9,3860,11.6,1.32,516,1272,Gefion,3860,11.72,12.812,0.172,6.114,,,,S,,0.1533,2.809,2.378,8.13
10,3910,11.8,0.58,516,1272,Gefion,3910,11.99,,,4.73,,,,S,,0.1333,2.795,2.423,8.69
11,4096,12.55,1.0,516,1272,Gefion,4096,12.91,7.664,0.277,3.79522,,,,Sl,,0.1501,2.81,2.388,9.07
12,4182,12.04,0.76,516,1272,Gefion,4182,12.33,10.397,0.215,3.0179,,,,Sr,,0.135,2.797,2.419,8.07
13,4417,11.87,-1.33,516,1272,Gefion,4417,12.21,11.1,0.36,3.1758,,,,S,,0.1057,2.758,2.466,9.01
14,4702,12.44,0.39,516,1272,Gefion,4702,12.68,8.478,0.345,,,,,S,,0.0927,2.794,2.535,9.36
15,5159,12.93,0.17,516,1272,Gefion,5159,13.3,6.388,0.299,,,,,S,,0.111,2.789,2.479,9.25
16,5401,11.94,0.63,516,1272,Gefion,5401,12.35,9.56,0.299,3.949,,,,S,,0.1528,2.795,2.368,10.07
17,5685,11.62,0.94,516,1272,Gefion,5685,11.74,12.993,0.24,3.388,,,,S,,0.0935,2.8,2.538,7.7
18,5955,12.47,0.82,516,1272,Gefion,5955,12.86,7.45,0.318,,,,,,,0.0949,2.803,2.537,7.93
19,6044,13.2,-0.26,516,1272,Gefion,6044,13.58,,,,,,,,,0.1546,2.778,2.348,8.88
20,6211,12.94,-0.89,516,1272,Gefion,6211,13.27,5.752,0.444,2.69802,,,,Sr,,0.094,2.756,2.497,8.54
21,6499,12.25,-0.92,516,1272,Gefion,6499,12.58,8.922,0.293,6.004,,,,,,0.1404,2.766,2.378,10.06
22,6929,12.49,-0.7,516,1272,Gefion,6929,12.74,7.315,0.228,4.248,,,,,,0.1433,2.768,2.371,10.34
23,7141,13.25,0.09,516,1272,Gefion,7141,13.64,6.771,0.184,,,,,,,0.0921,2.789,2.532,9.87
24,7176,12.66,-0.83,516,1272,Gefion,7176,13.1,6.729,0.324,,,,,,,0.1374,2.762,2.382,7.94
25,7272,12.51,-0.09,516,1272,Gefion,7272,12.76,8.04,0.273,30.334,,,,,,0.0987,2.785,2.51,9.62
26,7363,12.65,-0.95,516,1272,Gefion,7363,12.84,8.271,0.215,,,,,,,0.1206,2.758,2.425,8.94
27,7576,12.53,0.06,516,1272,Gefion,7576,12.85,6.871,0.341,3.085372,,,,,,0.1013,2.784,2.502,9.94
28,7651,12.93,0.02,516,1272,Gefion,7651,13.32,6.515,0.263,132.721,,,,,,0.1403,2.783,2.392,9.23
29,7957,13.4,-0.28,516,1272,Gefion,7957,13.79,5.127,0.267,,,,,,,0.1165,2.772,2.449,9.01
30,8074,13.08,0.12,516,1272,Gefion,8074,13.59,4.62,0.292,6.77306,,,,,,0.146,2.789,2.382,7.72
31,8334,12.95,0.04,516,1272,Gefion,8334,13.25,7.837,0.181,279.87,,,,S,,0.1004,2.787,2.508,10.14
32,8440,12.97,-0.12,516,1272,Gefion,8440,13.36,,,,,,,,,0.1404,2.783,2.392,7.75
33,8511,12.9,-0.42,516,1272,Gefion,8511,13.18,6.906,0.234,,,,,,,0.1541,2.77,2.343,9.16
34,8533,12.88,-0.7,516,1272,Gefion,8533,13.29,,,,,,,,,0.086,2.763,2.525,8.5
35,8565,12.87,0.2,516,1272,Gefion,8565,13.26,15.606,0.041,,,,,,,0.1494,2.788,2.371,8.57
36,8659,12.6,-0.02,516,1272,Gefion,8659,13.14,7.076,0.322,,,,,,,0.151,2.781,2.361,8.31
37,9173,12.48,0.35,516,1272,Gefion,9173,12.69,8.207,0.181,6.06633,,,,,,0.1192,2.791,2.458,8.58
38,9312,12.64,0.93,516,1272,Gefion,9312,13.07,6.525,0.345,,,,,,,0.1118,2.808,2.494,8.03
39,9447,13.01,-0.98,516,1272,Gefion,9447,13.29,5.864,0.296,,,,,,,0.1467,2.752,2.349,9.87
40,9511,13.02,-0.48,516,1272,Gefion,9511,13.34,,,4.5833,,,,,,0.1397,2.767,2.381,10.44
41,10222,12.73,-0.42,516,1272,Gefion,10222,13.08,,,29.0,,,,,,0.105,2.771,2.48,7.98
42,10245,12.99,-0.07,516,1272,Gefion,10245,13.37,,,,,,,,,0.0926,2.781,2.523,8.9
43,10335,13.43,0.25,516,1272,Gefion,10335,13.86,4.461,0.353,,,,,,,0.1495,2.794,2.376,8.94
