"spkid","pdes","H","diameter","albedo","rot_per","BV","UB","IR","spec_B","spec_T","e","a","q","i"
20000028,28,7.23,120.90,0.1763,15.706,0.845,0.469,,S,S,0.1490,2.777,2.363,9.42
20000038,38,8.49,92.255,0.055,12.838,0.726,0.419,,Cgh,C,0.1509,2.742,2.328,6.95
20000039,39,5.97,179.484,0.269,5.138,0.898,0.494,,S,S,0.1124,2.77,2.458,10.37
20000055,55,7.84,84.794,0.204,4.804,0.704,0.242,,X,M,0.1450,2.758,2.358,7.18
20000059,59,8.10,165.119,0.044,13.671,0.662,0.285,,B,CP,0.1167,2.714,2.397,8.65
20000093,93,7.90,154.155,0.056,5.982,0.685,0.315,,C,CU,0.1427,2.753,2.360,8.54
20000116,116,7.78,71.70,0.2560,12.028,0.873,0.429,,Sk,S,0.1383,2.769,2.386,3.56
20000128,128,7.67,162.515,0.067,38.9325,0.685,0.392,,C,C,0.1272,2.75,2.400,6.25
20000185,185,7.63,160.464,0.062,21.797,0.668,0.331,,C,C,0.1270,2.739,2.391,23.25
20000200,200,8.45,128.301,0.053,37.394,0.727,0.375,,Ch,C,0.1331,2.737,2.372,6.90
20000210,210,9.38,86.65,0.0436,6.672,0.667,0.248,,Cb,CF,0.1235,2.721,2.385,5.26
20000213,213,9.10,82.096,0.092,12.042,0.650,0.221,,B,F,0.1447,2.757,2.358,6.81
20000264,264,8.31,62.969,0.187,9.2276,0.840,0.419,,S,S,0.1352,2.799,2.420,10.43
20000266,266,8.72,109.494,0.027,13.018,0.707,0.336,,Ch,C,0.1544,2.804,2.371,13.40
20000267,267,10.23,55.998,0.051,7.648,,,,D,DU,0.1025,2.772,2.488,6.01
20000278,278,9.38,32.773,0.247,6.497,,,,S,,0.1348,2.754,2.383,7.83
20000310,310,10.20,33.708,0.115,12.07,,,,S,,0.1171,2.761,2.437,3.17
20000332,332,9.67,40.37,0.1719,8.0074,,,,Xk,,0.0910,2.773,2.521,2.84
20000340,340,9.99,28.025,0.247,8.0062,,,,,S,0.1179,2.746,2.422,4.67
20000346,346,7.32,86.447,0.332,28.523,0.843,0.485,,S,S,0.1029,2.795,2.507,8.76
20000354,354,6.16,148.970,0.201,4.277,0.949,0.601,,Sl,S,0.1118,2.8,2.487,18.36
20000365,365,9.20,86.773,0.050,12.705,0.714,0.331,,C,X,0.1555,2.803,2.367,12.80
20000378,378,9.81,27.831,0.339,4.45,0.874,0.424,,S,S,0.1297,2.776,2.416,7.01
20000403,403,9.04,53.574,0.173,12.283,,,,S,S,0.0981,2.811,2.535,9.16
20000417,417,9.68,54.874,0.072,7.034,0.755,0.357,,Xk,X,0.1353,2.799,2.420,6.65
20000424,424,9.73,102.565,0.027,20.063,,,,,,0.1097,2.772,2.468,8.22
20000446,446,8.86,53.562,0.317,15.7413,1.026,0.615,,A,A,0.1247,2.787,2.440,10.62
20000460,460,10.75,19.689,0.262,164.1,,,,K,,0.1038,2.718,2.436,4.64
20000527,527,10.41,52.627,0.039,42.75,,,,Cb,,0.1519,2.724,2.310,9.66
20000631,631,8.63,50.491,0.229,5.899,0.864,0.439,,S,S,0.0849,2.792,2.555,18.90
20000715,715,10.04,25.458,0.273,11.83,,,,X,,0.0858,2.766,2.529,13.82
20000716,716,10.92,19.768,0.170,15.588,0.860,0.351,,S,S,0.0867,2.812,2.568,8.49
20000729,729,9.57,50.025,0.133,25.23,0.780,0.375,,L,STGD,0.0963,2.759,2.493,18.05
20000739,739,8.86,104.517,0.051,23.92,0.720,0.312,,X,X,0.1427,2.739,2.348,20.66
20000793,793,10.22,26.636,0.196,7.396,0.822,,,S,DU:,0.1232,2.797,2.452,15.78
20000795,795,10.06,85.263,0.027,51.4,,,,C,,0.1001,2.752,2.476,19.03
20000808,808,9.98,30.923,0.213,30.631,,,,Sq,,0.1304,2.746,2.388,4.72
20000824,824,10.23,32.457,0.087,250,0.848,0.410,,L,S,0.1364,2.793,2.412,8.13
20000847,847,10.10,24.931,0.152,14.827,0.856,0.496,,S,S,0.0943,2.783,2.520,2.48
20000858,858,10.41,22.519,0.375,29.639,,,,,S,0.1035,2.811,2.520,8.87
20000860,860,10.04,34.561,0.116,9.386,0.658,0.205,,X,M,0.1087,2.795,2.491,13.30
20000868,868,10.45,50.692,0.056,41.118,0.711,0.362,,Ch,C:,0.1462,2.705,2.309,5.84
